Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T005_000,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_000,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T025_000,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T026_000,SE_T026_002,SE_T026_003,SE_T026_004,SE_T026_005,SE_T026_006,SE_T026_007,SE_T026_008,SE_T027_000,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T027_008,SE_T003_000,SE_T003_001,SE_T004_000,SE_T004_001,SE_T013_001,SE_T013_002,SE_T014_001,SE_T014_002
"37183051400","Census Tract 514","Census Tract 514, Wake County, North Carolina","00","37","183",,"051400",,,,,,,,5962,5029,361,18,184,5,73,292,5364,4717,386,15,99,3,55,89,598,312,-25,3,85,2,18,203,11.1483967188665,6.61437354250583,-6.47668393782383,20,85.8585858585859,66.6666666666667,32.7272727272727,228.089887640449,-2.22044604925031E-15,-3.58721692769094,-1.14110720118794,0.0222700518646431,1.240575096416,0.0279360633752768,0.199067121848766,3.23847579537418,5962,5331.3443294228,5364,4796.60029906472,598,534.74403035808,11.1483967188665,11.1483967188667
"37183051501","Census Tract 515.01","Census Tract 515.01, Wake County, North Carolina","00","37","183",,"051501",,,,,,,,3519,3200,74,2,71,0,31,141,3167,3029,56,1,48,1,15,17,352,171,18,1,23,-1,16,124,11.1146195137354,5.64542753383955,32.1428571428571,100,47.9166666666667,-100,106.666666666667,729.411764705882,-1.33226762955019E-15,-4.70763924612234,0.334635210920949,0.0252587043155057,0.501988707968372,-0.0315756236185665,0.407297728699622,3.47003451783646,3519,2419.69933837813,3167,2177.66064354747,352,242.03869483066,11.1146195137354,11.1146195137353
"37183051502","Census Tract 515.02","Census Tract 515.02, Wake County, North Carolina","00","37","183",,"051502",,,,,,,,2695,2407,59,0,65,0,21,143,2454,1947,141,4,325,0,8,29,241,460,-82,-4,-260,0,13,114,9.82070089649552,23.6260914227016,-58.1560283687943,-100,-80,,162.5,393.103448275862,-3.5527136788005E-15,9.97369029852439,-3.55648193929717,-0.162999185004075,-10.8318099411358,0,0.453222409212629,4.12437835770005,2695,2608.72825193225,2454,2375.44309099879,241,233.28516093346,9.82070089649552,9.82070089649557
"37183051600","Census Tract 516","Census Tract 516, Wake County, North Carolina","00","37","183",,"051600",,,,,,,,4958,4575,52,16,36,0,35,244,4555,4355,116,7,26,0,12,39,403,220,-64,9,10,0,23,205,8.84742041712404,5.05166475315729,-55.1724137931034,128.571428571429,38.4615384615385,,191.666666666667,525.641025641026,5.32907051820075E-15,-3.33410970483565,-1.49784202670157,0.16903349275517,0.155297916328111,0,0.442483048607203,4.06513727384675,4958,3249.51748874475,4555,2985.3630366567,403,264.15445208805,8.84742041712404,8.84831924441175
"37183051700","Census Tract 517","Census Tract 517, Wake County, North Carolina","00","37","183",,"051700",,,,,,,,4044,3748,65,2,70,0,19,140,3224,3143,21,2,26,0,1,31,820,605,44,0,44,0,18,109,25.4342431761787,19.2491250397709,209.52380952381,0,169.230769230769,,1800,351.612903225806,4.44089209850063E-16,-4.80707870987377,0.955954721389774,-0.0125787552800092,0.924507833189751,0,0.438814479926761,2.50038043064749,4044,2120.10740133037,3224,1690.26179385844,820,429.84560747193,25.4342431761787,25.4307119189331
"37183051800","Census Tract 518","Census Tract 518, Wake County, North Carolina","00","37","183",,"051800",,,,,,,,5147,4527,205,7,65,0,53,290,4306,3731,359,11,34,1,113,57,841,796,-154,-4,31,-1,-60,233,19.5308871342313,21.3347627981774,-42.8969359331476,-36.3636363636364,91.1764705882353,-100,-53.0973451327434,408.771929824561,0,1.30760833537653,-4.35430123978804,-0.119455946857693,0.473275662995169,-0.02322340919647,-1.59451918518907,4.31061578265957,5147,3524.35123621064,4306,2948.44940679445,841,575.90182941619,19.5308871342313,19.5323626069036
"37183051900","Census Tract 519","Census Tract 519, Wake County, North Carolina","00","37","183",,"051900",,,,,,,,4911,1851,2218,32,45,4,428,333,4847,1348,3078,17,31,0,234,139,64,503,-860,15,14,4,194,194,1.32040437383949,37.3145400593472,-27.9402209226771,88.2352941176471,45.1612903225806,,82.9059829059829,139.568345323741,-1.33226762955019E-15,9.87988086012306,-18.3392801186475,0.300866040652561,0.276739455184479,0.0814498065567094,3.88740080971728,3.91294314641342,4911,2887.71618383043,4847,2850.08355590024,64,37.6326279301907,1.32040437383949,1.32040437383962
"37183052001","Census Tract 520.01","Census Tract 520.01, Wake County, North Carolina","00","37","183",,"052001",,,,,,,,3782,506,1992,69,45,3,809,358,4261,856,2436,44,21,0,790,114,-479,-350,-444,25,24,3,19,244,-11.2414926073692,-40.8878504672897,-18.2266009852217,56.8181818181818,114.285714285714,,2.40506329113924,214.035087719298,-2.66453525910038E-15,-6.71001648019355,-4.49913379387856,0.79181006735173,0.697004586132933,0.0793231094658911,2.8505497514071,6.79046275971446,3782,2880.67575668459,4261,3245.52072956981,-479,-364.84497288522,-11.2414926073692,-11.241492607369
"37183052002","Census Tract 520.02","Census Tract 520.02, Wake County, North Carolina","00","37","183",,"052002",,,,,,,,5085,544,3299,59,37,0,905,241,4907,390,3923,18,61,2,426,87,178,154,-624,41,-24,-2,479,154,3.62747095985327,39.4871794871795,-15.9061942391027,227.777777777778,-39.344262295082,-100,112.441314553991,177.011494252874,8.88178419700125E-16,2.75030212893947,-15.0699249902663,0.793452413514777,-0.515491785359105,-0.0407581006725087,9.11596801791593,2.96645231592778,5085,3395.71023880938,4907,3276.84368571045,178,118.86655309893,3.62747095985327,3.62747095985321
"37183052101","Census Tract 521.01","Census Tract 521.01, Wake County, North Carolina","00","37","183",,"052101",,,,,,,,8750,1131,5120,55,132,0,1821,491,7468,1055,5184,73,61,2,955,138,1282,76,-64,-18,71,-2,866,353,17.1665773968934,7.20379146919431,-1.23456790123457,-24.6575342465753,116.393442622951,-100,90.6806282722513,255.797101449275,7.99360577730113E-15,-1.20122733185401,-10.901889968628,-0.348932588568368,0.691753003290229,-0.0267809319764328,8.02353355268192,3.76354426505471,8750,2993.16254826724,7468,2554.62147548111,1282,438.541072786129,17.1665773968934,17.1665773968936
"37183052102","Census Tract 521.02","Census Tract 521.02, Wake County, North Carolina","00","37","183",,"052102",,,,,,,,5966,449,4134,38,94,0,928,323,5555,469,4297,33,74,0,552,130,411,-20,-163,5,20,0,376,193,7.3987398739874,-4.26439232409382,-3.79334419362346,15.1515151515152,27.027027027027,,68.1159420289855,148.461538461538,0,-0.916863727941684,-8.06107697595103,0.0428832692186416,0.243461825230461,0,5.61781689399245,3.07377871545116,5966,3579.74153174951,5555,3333.13178157367,411,246.60975017584,7.3987398739874,7.39873987398745
"37183052303","Census Tract 523.03","Census Tract 523.03, Wake County, North Carolina","00","37","183",,"052303",,,,,,,,3759,2444,667,8,285,0,75,280,3634,2759,512,10,234,3,51,65,125,-315,155,-2,51,-3,24,215,3.43973582828839,-11.4171801377311,30.2734375,-20,21.7948717948718,-100,47.0588235294118,330.769230769231,2.66453525910038E-15,-10.904557369047,3.65492291990326,-0.0623563070717967,1.14261820063328,-0.0825536598789213,0.591799274476534,5.66012694098464,3759,8395.94067852153,3634,8116.74605633074,125,279.194622190787,3.43973582828839,3.43973582828832
"37183052304","Census Tract 523.04","Census Tract 523.04, Wake County, North Carolina","00","37","183",,"052304",,,,,,,,2803,1645,743,11,124,2,93,185,2935,1998,681,22,110,5,53,66,-132,-353,62,-11,14,-3,40,119,-4.49744463373083,-17.6676676676677,9.10425844346549,-50,12.7272727272727,-60,75.4716981132076,180.30303030303,1.06581410364015E-14,-9.38783646871415,3.30458786855894,-0.357137430630725,0.675961080881338,-0.099005628552032,1.51208154319933,4.35134903525731,2803,5512.34503673512,2935,5771.93459964951,-132,-259.58956291439,-4.49744463373083,-4.49744463373083
"37183052305","Census Tract 523.05","Census Tract 523.05, Wake County, North Carolina","00","37","183",,"052305",,,,,,,,3053,1869,407,14,514,4,52,193,1305,626,341,3,271,1,26,37,1748,1243,66,11,243,3,26,156,133.946360153257,198.562300319489,19.3548387096774,366.666666666667,89.6678966789668,300,100,421.621621621622,5.77315972805081E-15,13.2491249734888,-12.7991185104031,0.228680288090478,-3.93038440928024,0.0543903176700764,-0.289094452664486,3.48640179309843,3053,1112.77703404066,1305,475.654775441551,1748,637.122258599109,133.946360153257,133.946360153258
"37183052306","Census Tract 523.06","Census Tract 523.06, Wake County, North Carolina","00","37","183",,"052306",,,,,,,,1382,902,215,4,161,1,27,72,1358,1139,108,8,73,0,9,21,24,-237,107,-4,88,1,18,51,1.76730486008837,-20.8077260755048,99.0740740740741,-50,120.547945205479,,200,242.857142857143,8.88178419700125E-16,-18.6056152211582,7.60429166071668,-0.299666019450584,6.27423064053079,0.0723589001447178,1.29095098137424,3.66344905784236,1382,3844.45388949633,1358,3777.69058027208,24,66.7633092242504,1.76730486008837,1.76730486008841
"37183052307","Census Tract 523.07","Census Tract 523.07, Wake County, North Carolina","00","37","183",,"052307",,,,,,,,4619,2629,928,13,506,2,152,389,4666,3233,804,22,375,1,87,144,-47,-604,124,-9,131,1,65,245,-1.00728675525075,-18.6823383854006,15.4228855721393,-40.9090909090909,34.9333333333333,100,74.7126436781609,170.138888888889,-2.66453525910038E-15,-12.3713881619992,2.85989576774661,-0.190049727513419,2.91788970193094,0.0218677823674498,1.42620349593133,5.33558114153629,4619,3880.08464267876,4666,3919.56591096321,-47,-39.4812682844504,-1.00728675525075,-1.00728675525061
"37183052401","Census Tract 524.01","Census Tract 524.01, Wake County, North Carolina","00","37","183",,"052401",,,,,,,,6315,4550,852,21,340,12,138,402,3207,2292,607,15,163,5,49,76,3108,2258,245,6,177,7,89,326,96.9130028063611,98.5165794066318,40.3624382207578,40,108.588957055215,140,181.632653061224,428.947368421053,0,0.582010699575675,-5.43565996887746,-0.135185279825086,0.301374591063047,0.0341148037954386,0.657365457242804,3.99597969702558,6315,1235.12925085613,3207,627.246161123612,3108,607.883089732518,96.9130028063611,96.9130028063611
"37183052404","Census Tract 524.04","Census Tract 524.04, Wake County, North Carolina","00","37","183",,"052404",,,,,,,,4001,2468,376,11,678,0,213,255,4177,2854,420,28,541,2,220,112,-176,-386,-44,-17,137,-2,-7,143,-4.21355039502035,-13.5248773651016,-10.4761904761905,-60.7142857142857,25.3234750462107,-100,-3.18181818181818,127.678571428571,8.88178419700125E-16,-6.6419713003279,-0.657412855309035,-0.395406295660942,3.99388421987153,-0.0478812544888676,0.0567310889538805,3.69205639696133,4001,3245.83485133902,4177,3388.61588953838,-176,-142.78103819936,-4.21355039502035,-4.21355039502016
"37183052407","Census Tract 524.07","Census Tract 524.07, Wake County, North Carolina","00","37","183",,"052407",,,,,,,,4401,2546,889,33,221,4,372,336,3831,2442,808,29,191,1,245,115,570,104,81,4,30,3,127,221,14.8786217697729,4.25880425880426,10.0247524752475,13.7931034482759,15.7068062827225,300,51.8367346938776,192.173913043478,-1.77635683940025E-15,-5.89265947779719,-0.891144374000571,-0.00715292690829684,0.0359425680466652,0.0647855892365888,2.05742732706331,4.63280129435949,4401,3172.4845684742,3831,2761.59699655185,570,410.88757192235,14.8786217697729,14.8786217697726
"37183052408","Census Tract 524.08","Census Tract 524.08, Wake County, North Carolina","00","37","183",,"052408",,,,,,,,3025,1451,799,14,222,6,258,275,2923,1449,977,19,138,1,234,105,102,2,-178,-5,84,5,24,170,3.48956551488197,0.138026224982747,-18.2190378710338,-26.3157894736842,60.8695652173913,500,10.2564102564103,161.904761904762,4.44089209850063E-15,-1.60541501853354,-7.01134066381477,-0.187207188357936,2.617666102131,0.164135680821527,0.523451791576073,5.49870929617765,3025,7471.9362511349,2923,7219.98997093134,102,251.94628020356,3.48956551488197,3.48956551488201
"37183052409","Census Tract 524.09","Census Tract 524.09, Wake County, North Carolina","00","37","183",,"052409",,,,,,,,4865,2101,502,21,1406,12,410,413,4196,2025,663,8,1118,1,252,129,669,76,-161,13,288,11,158,284,15.9437559580553,3.75308641975309,-24.2835595776772,162.5,25.7602862254025,1100,62.6984126984127,220.15503875969,1.77635683940025E-15,-5.07422524461705,-5.48216037002891,0.240996906954894,2.2558850645209,0.222827593842126,2.42182394626312,5.41485210306493,4865,11406.7466810304,4196,9838.17247144985,669,1568.57420958055,15.9437559580553,15.9437559580554
"37183052410","Census Tract 524.10","Census Tract 524.10, Wake County, North Carolina","00","37","183",,"052410",,,,,,,,1790,977,416,3,82,0,144,168,1734,1013,391,21,70,0,173,66,56,-36,25,-18,12,0,-29,102,3.22952710495963,-3.5538005923001,6.39386189258312,-85.7142857142857,17.1428571428571,,-16.7630057803468,154.545454545455,2.66453525910038E-15,-3.83883293705257,0.691203855844014,-1.04347489899673,0.54409670539264,0,-1.93223921182012,5.57924648663277,1790,4776.65549110317,1734,4627.2182243424,56,149.43726676077,3.22952710495963,3.22952710495965
"37183052411","Census Tract 524.11","Census Tract 524.11, Wake County, North Carolina","00","37","183",,"052411",,,,,,,,6285,2909,1746,29,373,3,696,529,4677,2404,1393,39,266,1,413,161,1608,505,353,-10,107,2,283,368,34.3810134701732,21.0066555740433,25.3409906676238,-25.6410256410256,40.2255639097744,200,68.5230024213075,228.571428571429,-3.5527136788005E-15,-5.11566529551255,-2.00362001017522,-0.372451794007439,0.247358857109616,0.0263514696149287,2.24353881254073,4.97448796042993,6285,5924.5091065526,4677,4408.73971222697,1608,1515.76939432563,34.3810134701732,34.3810134701732
"37183052504","Census Tract 525.04","Census Tract 525.04, Wake County, North Carolina","00","37","183",,"052504",,,,,,,,7187,5080,1025,29,326,0,291,436,5439,3881,795,35,194,3,396,135,1748,1199,230,-6,132,-3,-105,301,32.1382607096893,30.8940994589023,28.9308176100629,-17.1428571428571,68.0412371134021,-100,-26.5151515151515,222.962962962963,-5.32907051820075E-15,-0.671850537679719,-0.354795779073741,-0.239994312625452,0.96913558123282,-0.0551571980143409,-3.23177281773159,3.58443506389202,7187,3166.07324225195,5439,2396.03066155675,1748,770.0425806952,32.1382607096893,32.1382607096892
"37183052505","Census Tract 525.05","Census Tract 525.05, Wake County, North Carolina","00","37","183",,"052505",,,,,,,,5050,3449,684,19,203,5,304,386,4638,3271,538,30,207,6,468,118,412,178,146,-11,-4,-1,-164,268,8.88313928417421,5.44176092937939,27.1375464684015,-36.6666666666667,-1.93236714975845,-16.6666666666667,-35.042735042735,227.118644067797,6.21724893790088E-15,-2.22905912842254,1.94472694358699,-0.270592906638659,-0.443328679569121,-0.030356205090108,-4.07075429405813,5.09936427019157,5050,3819.41883941926,4638,3507.81476776763,412,311.60407165163,8.88313928417421,8.88313928417419
"37183052506","Census Tract 525.06","Census Tract 525.06, Wake County, North Carolina","00","37","183",,"052506",,,,,,,,2488,1917,317,6,74,2,40,132,2018,1666,196,3,46,1,69,37,470,251,121,3,28,1,-29,95,23.2903865213082,15.0660264105642,61.734693877551,100,60.8695652173913,100,-42.0289855072464,256.756756756757,4.44089209850063E-15,-5.50714788766057,3.02857083674582,0.0924955146447248,0.694791889075491,0.0308318382149083,-1.81150991558291,3.47196772456254,2488,2225.17779245754,2018,1804.82668214603,470,420.35111031151,23.2903865213082,23.290386521308
"37183052507","Census Tract 525.07","Census Tract 525.07, Wake County, North Carolina","00","37","183",,"052507",,,,,,,,2861,1674,653,25,56,5,182,266,2801,1875,572,24,45,0,217,68,60,-201,81,1,11,5,-35,198,2.14209210996073,-10.72,14.1608391608392,4.16666666666667,24.4444444444444,,-16.1290322580645,291.176470588235,1.77635683940025E-15,-8.42936829995678,2.4029092321225,0.016983498553283,0.35078848481362,0.174764068507515,-1.38582103735109,6.86974405331097,2861,2861.74914089082,2801,2801.73343014162,60,60.0157107491996,2.14209210996073,2.14209210996087
"37183052508","Census Tract 525.08","Census Tract 525.08, Wake County, North Carolina","00","37","183",,"052508",,,,,,,,3384,2591,387,12,145,2,71,176,3146,2604,292,12,140,1,45,52,238,-13,95,0,5,1,26,124,7.56516211061666,-0.499231950844854,32.5342465753425,0,3.57142857142857,100,57.7777777777778,238.461538461538,1.77635683940025E-15,-6.20557982743669,2.15454274932031,-0.0268268159950945,-0.16522538282693,0.0273152594235766,0.66772095302076,3.54805306449407,3384,2713.02748433617,3146,2522.21763171441,238,190.80985262176,7.56516211061666,7.565162110617
"37183052509","Census Tract 525.09","Census Tract 525.09, Wake County, North Carolina","00","37","183",,"052509",,,,,,,,3989,3009,443,4,169,0,75,289,3252,2591,414,4,106,0,56,81,737,418,29,0,63,0,19,208,22.6629766297663,16.1327672713238,7.0048309178744,0,59.4339622641509,,33.9285714285714,256.79012345679,-1.77635683940025E-15,-4.2416075326459,-1.62508707062503,-0.0227254716768777,0.977118194345644,0,0.158153248616968,4.75414863198519,3989,2163.61892942616,3252,1763.87283993329,737,399.746089492871,22.6629766297663,22.662976629766
"37183052601","Census Tract 526.01","Census Tract 526.01, Wake County, North Carolina","00","37","183",,"052601",,,,,,,,3386,3073,63,4,69,2,17,158,3054,2890,87,5,38,1,4,29,332,183,-24,-1,31,1,13,129,10.8709888670596,6.33217993079585,-27.5862068965517,-20,81.5789473684211,100,325,444.827586206897,2.22044604925031E-15,-3.87393910980574,-0.988120505444236,-0.0455862210086527,0.793532906985155,0.0263228030516658,0.371091566607136,3.71669855961467,3386,2643.74838128922,3054,2384.52674437604,332,259.22163691318,10.8709888670596,10.8709888670597
"37183052602","Census Tract 526.02","Census Tract 526.02, Wake County, North Carolina","00","37","183",,"052602",,,,,,,,5219,4403,326,4,139,0,80,267,3723,3265,292,6,89,0,34,37,1496,1138,34,-2,50,0,46,230,40.1826484018265,34.854517611026,11.6438356164384,-33.3333333333333,56.1797752808989,,135.294117647059,621.621621621622,2.66453525910038E-15,-3.33327208889892,-1.59672989717059,-0.0845173194885915,0.272800209280982,0,0.619618692151351,4.12210040412578,5219,3982.5307288214,3723,2840.95840264458,1496,1141.57232617682,40.1826484018265,40.1826484018266
"37183052603","Census Tract 526.03","Census Tract 526.03, Wake County, North Carolina","00","37","183",,"052603",,,,,,,,3613,3244,103,1,98,0,47,120,2790,2434,232,1,34,3,47,39,823,810,-129,0,64,-3,0,81,29.4982078853047,33.278553820871,-55.6034482758621,0,188.235294117647,-100,0,207.692307692308,3.99680288865056E-15,2.54673733937683,-5.46459569039321,-0.00816446384868659,1.49378935286456,-0.10752688172043,-0.38372980088827,1.92349014460922,3613,3014.06425450308,2790,2327.49495434918,823,686.5693001539,29.4982078853047,29.4982078853047
"37183052701","Census Tract 527.01","Census Tract 527.01, Wake County, North Carolina","00","37","183",,"052701",,,,,,,,6052,3289,886,42,248,2,1102,483,5702,3355,1164,35,171,0,805,172,350,-66,-278,7,77,2,297,311,6.1381971238162,-1.9672131147541,-23.8831615120275,20,45.0292397660819,,36.8944099378882,180.813953488372,8.88178419700125E-16,-4.49333300568463,-5.77410136353636,0.0801657469706598,1.09887116520612,0.0330469266358229,4.09100319156113,4.96434733884726,6052,2299.00068715075,5702,2166.04459982379,350,132.95608732696,6.1381971238162,6.13819712381621
"37183052704","Census Tract 527.04","Census Tract 527.04, Wake County, North Carolina","00","37","183",,"052704",,,,,,,,6809,1180,2816,66,271,4,1772,700,6673,1550,3144,80,195,13,1407,284,136,-370,-328,-14,76,-9,365,416,2.03806383935261,-23.8709677419355,-10.4325699745547,-17.5,38.974358974359,-69.2307692307692,25.9417199715707,146.478873239437,4.44089209850063E-15,-5.89792905727663,-5.75821305785352,-0.229555750792805,1.05780254829288,-0.136069148173239,4.93941021853883,6.02455424726448,6809,6034.6009967314,6673,5914.06850509453,136,120.53249163687,2.03806383935261,2.03806383935256
